"Date","Adelaide","Apia","Beijing","Bangkok","Brisbane","Bandar Seri Begawan","Guangzhou","Cairns","Denpasar","Dubai","Buenos Aires","Hong Kong","Honolulu","Osaka","Kuala Lumpur","Los Angeles","London","Melbourne","Nadi","Nagoya","Noumea","Tokyo","Coolangatta","Perth","Papeete","Rarotonga","Santiago","Seoul","San Francisco","Shanghai","Singapore","Sydney","Tonga","Taipei","Port Vila","Vancouver","TOTAL ALL OVERSEAS PORTS"
"2013M02",24,47,0,48,318,0,28,11,0,112,0,86,16,12,24,67,48,391,68,0,17,28,87,29,17,41,24,28,26,28,94,677,31,28,12,20,2287
"2013M03",27,51,0,56,359,1,31,15,0,123,0,65,25,14,27,67,35,446,78,0,18,31,98,32,19,52,27,23,23,31,101,763,32,31,13,18,2524
"2013M04",28,54,0,51,384,0,30,13,0,119,0,60,25,0,27,75,30,423,78,0,18,30,103,30,20,61,26,17,30,30,96,763,31,30,12,14,2511
"2013M05",17,54,0,51,344,0,31,14,0,121,0,62,29,2,28,75,31,380,81,0,16,28,84,21,17,53,27,17,31,31,99,671,34,29,14,13,2306
"2013M06",18,54,0,52,363,0,30,16,9,120,0,60,28,10,25,73,30,373,89,0,19,26,84,22,20,63,25,18,30,30,101,660,30,26,18,15,2332
"2013M07",24,62,0,50,429,0,31,22,9,124,0,64,28,10,26,79,31,442,120,0,18,28,113,31,19,76,26,17,30,31,102,797,37,31,19,19,2749
"2013M08",17,55,0,48,419,0,31,24,8,124,1,62,30,12,27,74,31,434,112,0,21,30,98,27,19,68,24,18,27,31,98,749,38,29,18,22,2631
"2013M09",26,54,0,47,393,0,30,21,9,120,0,60,30,13,25,73,30,425,89,0,17,26,106,31,20,66,22,17,30,30,99,727,29,26,18,17,2538
"2013M10",26,55,0,49,378,0,31,22,6,124,0,62,33,8,29,81,31,439,97,0,18,23,112,31,17,64,22,19,31,32,99,758,35,26,18,15,2598
"2013M11",26,52,0,52,336,0,30,10,0,120,0,61,27,4,28,73,30,419,77,0,18,27,98,30,17,53,25,21,31,30,99,747,29,28,14,13,2429
"2013M12",39,62,0,53,381,0,43,9,0,124,0,94,34,8,31,83,31,504,94,0,23,31,123,47,24,56,28,27,31,30,114,834,36,32,13,22,2855
"2014M01",44,58,0,53,378,0,46,10,0,124,0,94,32,4,31,88,31,501,90,4,28,31,121,50,24,51,30,31,31,32,111,826,38,31,13,26,2862
"2014M02",36,48,0,48,328,0,41,9,0,112,0,84,27,3,24,76,28,393,70,2,21,29,94,37,22,37,28,28,28,30,94,703,31,28,12,20,2392
"2014M03",41,51,0,48,361,0,32,11,0,124,0,64,30,0,27,77,31,447,80,0,18,32,102,41,26,50,31,22,31,31,98,781,30,31,14,18,2575
"2014M04",39,53,0,50,377,0,43,10,0,120,1,60,30,0,31,73,30,435,78,0,20,31,104,38,23,63,17,17,30,29,94,757,32,30,14,13,2545
"2014M05",30,52,0,48,342,0,45,14,0,123,0,62,28,0,32,74,31,397,77,0,18,31,103,23,23,55,26,18,31,30,99,687,37,26,20,13,2398
"2014M06",32,52,0,47,365,0,43,15,9,120,0,62,31,0,30,73,30,379,85,0,21,30,105,22,22,61,30,17,30,30,96,675,33,23,21,15,2421
"2014M07",33,66,0,49,418,0,44,23,13,124,0,63,37,0,32,80,31,464,132,0,18,32,125,32,26,72,31,18,30,31,93,797,39,26,21,20,2834
"2014M08",28,61,1,49,417,0,44,23,10,124,0,63,34,0,31,75,31,435,117,0,25,31,109,29,23,69,31,18,27,31,85,762,35,27,23,22,2705
"2014M09",23,57,0,49,400,0,43,21,10,120,0,60,32,0,29,74,30,415,93,0,17,30,109,30,22,62,30,17,30,30,83,731,34,28,22,17,2568
"2014M10",26,55,0,48,381,0,47,20,6,123,0,63,34,3,32,78,31,426,97,0,20,31,113,32,21,60,31,18,31,31,84,766,37,31,17,13,2617
"2014M11",26,50,1,47,337,0,60,2,0,120,0,60,31,5,32,77,30,427,74,0,24,36,101,30,23,51,30,22,30,30,82,717,29,30,16,14,2452
"2014M12",29,65,0,49,388,0,62,1,0,124,0,96,37,0,30,86,31,518,87,0,28,44,133,46,27,53,31,27,39,44,104,840,40,48,13,22,2929
"2015M01",31,65,0,49,392,0,62,0,0,124,0,94,32,0,31,89,31,534,93,0,34,44,142,47,27,48,32,31,44,56,108,847,37,49,14,26,2992
"2015M02",24,44,0,44,337,0,59,1,1,112,0,89,31,0,28,71,28,419,75,0,23,41,112,44,24,33,28,28,40,56,88,692,28,44,13,20,2483
"2015M03",27,52,0,50,369,0,61,3,1,124,0,77,29,0,32,76,31,473,82,0,21,44,121,51,27,45,31,22,34,50,92,743,31,36,15,19,2668
"2015M04",25,54,0,47,377,0,43,13,1,120,0,63,31,0,33,91,30,473,82,0,25,30,130,44,24,49,30,17,30,31,92,706,34,31,17,12,2592
"2015M05",18,53,0,49,350,0,44,10,2,125,0,62,34,0,31,91,31,418,83,0,22,31,130,22,23,48,31,18,31,31,94,645,31,28,21,14,2423
